"t","U","M","I","muM","muI"
0,25,2,0,0.07407407407407407,0
1,21,6,0,0.2222222222222222,0
2,12,15,0,0.5555555555555556,0
3,8,19,0,0.7037037037037037,0
4,3,24,0,0.8888888888888888,0
5,1,26,0,0.9629629629629629,0
6,0,22,5,0.8148148148148148,0.18518518518518517
7,0,19,8,0.7037037037037037,0.2962962962962963
8,0,20,7,0.7407407407407407,0.25925925925925924
9,0,20,7,0.7407407407407407,0.25925925925925924
10,0,18,9,0.6666666666666666,0.3333333333333333
11,0,16,11,0.5925925925925926,0.4074074074074074
12,0,15,12,0.5555555555555556,0.4444444444444444
13,0,15,12,0.5555555555555556,0.4444444444444444
14,0,14,13,0.5185185185185185,0.48148148148148145
15,0,12,15,0.4444444444444444,0.5555555555555556
16,0,12,15,0.4444444444444444,0.5555555555555556
17,0,11,16,0.4074074074074074,0.5925925925925926
18,0,11,16,0.4074074074074074,0.5925925925925926
19,0,8,19,0.2962962962962963,0.7037037037037037
20,0,7,20,0.25925925925925924,0.7407407407407407
21,0,7,20,0.25925925925925924,0.7407407407407407
22,0,6,21,0.2222222222222222,0.7777777777777778
23,0,5,22,0.18518518518518517,0.8148148148148148
24,0,5,22,0.18518518518518517,0.8148148148148148
25,0,6,21,0.2222222222222222,0.7777777777777778
26,0,4,23,0.14814814814814814,0.8518518518518519
27,0,4,23,0.14814814814814814,0.8518518518518519
28,0,5,22,0.18518518518518517,0.8148148148148148
29,0,5,22,0.18518518518518517,0.8148148148148148
30,0,4,23,0.14814814814814814,0.8518518518518519
31,0,5,22,0.18518518518518517,0.8148148148148148
32,0,3,24,0.1111111111111111,0.8888888888888888
33,0,3,24,0.1111111111111111,0.8888888888888888
34,0,3,24,0.1111111111111111,0.8888888888888888
35,0,3,24,0.1111111111111111,0.8888888888888888
36,0,2,25,0.07407407407407407,0.9259259259259259
37,0,1,26,0.037037037037037035,0.9629629629629629
38,0,1,26,0.037037037037037035,0.9629629629629629
39,0,1,26,0.037037037037037035,0.9629629629629629
40,0,1,26,0.037037037037037035,0.9629629629629629
